movie_id,budget_x,revenue,genre,status,score
4656,90100000,414551647.4,Documentary, Released,71
4657,99200000,672933913.6,"Comedy, Animation, Adventure, Fantasy, Romance, Action", Released,82
4658,80400000,411716817.2,Drama, Released,64
4659,85000000,315268353,"Action, Thriller", Released,65
4660,118000000,336436641.6,"Action, Horror, Science Fiction", Released,55
4661,87000000,416389640,Drama, Released,63
4662,167540000,175269998.8,, Released,0
4663,5000000,18945682,"Drama, Mystery, Thriller, Fantasy", Released,70
4664,174600000,175269998.8,Drama, Released,0
4665,195000000,175269998.8,Horror, Released,0
4666,22000000,5111099,"Action, Adventure, History, Drama", Released,53
4667,10000000,295750,"Comedy, Romance, Drama", Released,66
4668,5000000,0,"Drama, Fantasy, Comedy", Released,63
4669,60000000,30800231,"Drama, Fantasy, Mystery, Romance", Released,63
4670,112800000,836011985.4,"Romance, Drama", Released,40
4671,60000000,111898741,"Animation, Comedy, Family, Fantasy", Released,67
4672,15000000,87950928,"Drama, Thriller, Crime, Romance", Released,74
4673,87600000,416924705.4,"Action, Drama", Released,72
4674,120800000,810491789.2,"Crime, Drama, Mystery, TV Movie", Released,79
4675,15000000,47721314,"Mystery, Thriller, Horror", Released,42
4676,27500000,219265952,"Comedy, Romance, Drama", Released,63
4677,20000000,10468867,"Animation, Fantasy, Science Fiction", Released,68
4678,15000000,52189039,"Action, Drama, Thriller, Romance", Released,63
4679,132200000,383511255,"Family, Fantasy, Comedy", Released,60
4680,15000000,8200127,"Drama, Horror, Thriller", Released,66
4681,3000000,10473836,"Horror, Thriller", Released,66
4682,35000000,45681173,"Action, Adventure, Crime, Science Fiction, Thriller", Released,59
4683,53000000,539049012.4,"Comedy, Action, Thriller", Released,65
4684,40000000,21921551,"Mystery, Comedy, Thriller", Released,65
4685,600000,185898,"Horror, Comedy", Released,45
4686,42000000,131523093,"Fantasy, Family, Comedy", Released,62
4687,9265000,1907743,Action, Released,75
4688,109000000,462483392.8,"Adventure, Animation, Comedy, Family, Fantasy, TV Movie", Released,68
4689,25000000,34100000,"Fantasy, Adventure, Action, Mystery", Released,61
4690,12600000,19054534,"Drama, Crime", Released,68
